hidden_dim,dropout,lr,window_size,avg_acc
64,0.5,0.1,3,0.7612661637190639
64,0.2,0.005,2,0.5955847796512347
128,0.5,0.01,3,0.4827238872627832
128,0.5,0.001,4,0.5189443597037282
128,0.2,0.1,2,0.720402358082203
64,0.7,0.003,4,0.6012656140495527
64,0.5,0.01,4,0.5676601943081722
64,0.5,0.005,3,0.6474625881188935
128,0.7,0.001,2,0.5172761127372167
128,0.2,0.01,2,0.4963721812260379
64,0.2,0.003,3,0.5193758502700252
64,0.2,0.003,2,0.5917027387283397
64,0.2,0.01,4,0.6405477456679172
64,0.5,0.1,2,0.701978810240343
64,0.5,0.1,4,0.686229404570502
128,0.5,0.003,3,0.5299679817509722
128,0.7,0.001,4,0.5462409476302372
256,0.7,0.003,2,0.5471973725797363
128,0.5,0.01,4,0.4979456102018661
64,0.5,0.01,3,0.5629454040757994
256,0.2,0.001,3,0.55559632271097
128,0.7,0.005,4,0.5425664069478227
128,0.7,0.1,4,0.5634373582883292
128,0.5,0.01,2,0.5251501284852482
128,0.2,0.005,4,0.481580574679474
256,0.7,0.1,4,0.6211938821783403
256,0.7,0.01,3,0.5167511783540146
256,0.7,0.005,2,0.609120391364692
256,0.7,0.01,2,0.5268183754517597
256,0.2,0.1,3,0.7287587088263182
64,0.5,0.1,3,0.6081282378969644
64,0.2,0.005,2,0.7428852152643224
128,0.5,0.01,3,0.4470283492050404
128,0.5,0.001,4,0.5178010471204189
128,0.2,0.1,2,0.6978178120405106
64,0.7,0.003,4,0.5304929161341743
64,0.5,0.01,4,0.5314452185623394
64,0.5,0.005,3,0.5534965851781616
128,0.7,0.001,2,0.4947039342595264
128,0.2,0.01,2,0.4470283492050404
64,0.2,0.003,3,0.4575270368690825
64,0.2,0.003,2,0.4459784804386363
64,0.2,0.01,4,0.48429869041238954
64,0.5,0.1,2,0.7208929381209547
64,0.5,0.1,4,0.691482870923857
128,0.5,0.003,3,0.45857690563548664
128,0.7,0.001,4,0.5534965851781617
256,0.7,0.003,2,0.5168446221709198
128,0.5,0.01,4,0.5545464539445659
64,0.5,0.01,3,0.5234681397809566
256,0.2,0.001,3,0.5172761127372167
128,0.7,0.005,4,0.6174368910692446
128,0.7,0.1,4,0.582879168899699
128,0.5,0.01,2,0.6060834673152767
128,0.2,0.005,4,0.4895480342444105
256,0.7,0.1,4,0.5953786535845322
256,0.7,0.01,3,0.4821989528795811
256,0.7,0.005,2,0.5939165326847233
256,0.7,0.01,2,0.48534168830990365
256,0.2,0.1,3,0.639588572370862
