fold,real_count,fake_count,mean_token_count,std_token_count,mean_similarity,mean_rarity,baseline_misclassification_rate,hybrid_misclassification_rate
1,53,75,514.9921875,623.9874127553111,0.018148951188533845,84129.57232320766,0.640625,0.6875
2,52,75,472.68503937007875,549.4996670967895,0.01723619878804116,84134.0888161568,0.7716535433070866,0.7795275590551181
3,52,75,493.46456692913387,573.697016369857,0.01760271561777448,83886.33680195786,0.7244094488188977,0.7716535433070866
4,52,75,502.18897637795277,585.4447601431775,0.01673703236063889,84308.62862721825,0.7559055118110236,0.7874015748031497
5,52,75,486.4173228346457,558.5730038678191,0.01765347399004344,84363.4330617714,0.7244094488188977,0.7874015748031497
6,52,75,514.7874015748032,601.5250806883807,0.017581458156777093,83986.0540149018,0.7795275590551181,0.8031496062992126
7,52,75,610.6771653543307,681.5583670156532,0.01815327257124971,84525.34836464777,0.7637795275590551,0.8267716535433071
8,52,75,513.5748031496063,640.1777843306937,0.017677663194707007,84021.5599612888,0.6771653543307087,0.6850393700787402
9,52,75,460.74015748031496,549.6474947217928,0.017301656362697645,83992.48462754989,0.7637795275590551,0.8031496062992126
10,52,75,478.96062992125985,555.5777116441863,0.016351463484462148,83937.71463658173,0.8110236220472441,0.84251968503937
11,52,75,606.4724409448819,672.8504613077781,0.017281362994585,83865.66437354726,0.7559055118110236,0.8110236220472441
12,52,75,671.0944881889764,755.4670628588759,0.017007155816710477,83956.15558231951,0.7874015748031497,0.8031496062992126
13,52,75,577.3779527559055,657.035742657208,0.017375743886741863,83369.78427817568,0.7244094488188977,0.7480314960629921
14,53,74,625.8582677165355,693.5474912431548,0.017812154374266774,84115.51024760854,0.7559055118110236,0.7874015748031497
15,53,74,517.3385826771654,585.3136890682412,0.017632460668210313,84309.8325767256,0.8188976377952756,0.8188976377952756
